5G,부산,행정동,강서구 명지1동0524 ,20230524
5G,부산,행정동,강서구 명지1동 MOS 221,20230221
5G,부산,행정동,강서구 명지1동 MOS 328,20230328
5G,부산,행정동,강서구 명지1동 MOS 426,20230426
5G,부산,행정동,강서구 명지1동 MOS NEW,20230607
5G,부산,행정동,강서구 명지2동 MOS 131,20230131
5G,부산,행정동,강서구 명지2동 NEW ,20230627
5G,부산,행정동,기장읍 SCXI MAP ,20230707
5G,부산,행정동,기장군 일광읍 20230427,20230427
5G,부산,행정동,기장군 일광읍 MOS 227,20230227
5G,부산,행정동,기장군 일광읍 MOS 327,20230327
5G,부산,행정동,기장군 일광읍 MOS 425,20230425
5G,부산,행정동,기장군 일광읍 MOS 525,20230525
5G,부산,행정동,기장군 일광읍 MOS NEW,20230615
5G,부산,행정동,기장군 장안읍 ,20230704
5G,부산,행정동,기장군 장안읍 20230427,20230427
5G,부산,행정동,기장군 장안읍 MOS 227,20230227
5G,부산,행정동,기장군 장안읍 MOS 327,20230327
5G,부산,행정동,기장군 장안읍 MOS 425,20230425
5G,부산,행정동,기장군 장안읍 MOS 525,20230525
5G,부산,행정동,기장군 장안읍 MOS NEW,20230622
5G,부산,행정동,기장군 정관읍 20230426,20230426
5G,부산,행정동,기장군 정관읍 MOS 227,20230227
5G,부산,행정동,기장군 정관읍 MOS 327,20230327
5G,부산,행정동,기장군 정관읍 MOS 425,20230425
5G,부산,행정동,기장군 정관읍 MOS 525,20230525
5G,부산,행정동,기장군 정관읍 MOS 630,20230630
5G,부산,행정동,기장군 정관읍 MOS NEW,20230614
5G,부산,행정동,기장군 철마면 20230322 ,20230322
5G,부산,행정동,기장군 철마면 20230426 ,20230426
5G,부산,행정동,기장군 철마면 MOS 525,20230525
5G,부산,행정동,기장군 철마면 MOS NEW,20230615
5G,부산,행정동,기장군 기장읍 MOS 512,20230512
5G,부산,행정동,기장군 기장읍 MOS NEW,20230614
5G,부산,행정동,기장군기장읍 ,20230622
5G,부산,행정동,금정구 장전1동 MOS 508,20230508
5G,부산,행정동,금정구 장전1동 MOS 627,20230627
5G,부산,행정동,금정구 장전1동 MOS NEW,20230614
5G,부산,행정동,금정구 장전2동 MOS 517,20230517
5G,부산,행정동,금정구 장전2동 MOS 627,20230627
5G,부산,행정동,금정구 장전2동 MOS NEW,20230613
5G,부산,행정동,금정구 청룡노포동 MOS 517,20230517
5G,부산,행정동,금정구 청룡노포동 MOS 626,20230626
5G,부산,행정동,금정구 청룡노포동 MOS NEW,20230613
5G,부산,행정동,금정구 금사회동동 MOS 126,20230126
5G,부산,행정동,금정구 금성동 MOS 517,20230517
5G,부산,행정동,금정구 금성동 MOS 626,20230626
5G,부산,행정동,금정구 금성동 MOS NEW,20230613
5G,부산,행정동,금정구 구서1동 MOS 508,20230508
5G,부산,행정동,금정구 구서1동 MOS 704,20230705
5G,부산,행정동,금정구 구서1동 MOS NEW,20230614
5G,부산,행정동,금정구 구서2동 MOS 508,20230508
5G,부산,행정동,금정구 구서2동 MOS 704,20230705
5G,부산,행정동,금정구 구서2동 MOS NEW,20230614
5G,부산,행정동,금정구 남산동 MOS 508,20230508
5G,부산,행정동,금정구 남산동 MOS 704,20230705
5G,부산,행정동,금정구 남산동 MOS NEW,20230613
5G,부산,행정동,금정구 남산동 Tilt ,20230526
5G,부산,행정동,금정구 명장1동 MOS 127,20230127
5G,부산,행정동,금정구 부곡2동 MOS 125,20230125
5G,부산,행정동,금정구 부곡3동 MOS 125,20230125
5G,부산,행정동,금정구 부곡4동 MOS 125,20230125
5G,부산,행정동,금정구 서1동 MOS 126,20230126
5G,부산,행정동,금정구 서2동 MOS 127,20230127
5G,부산,행정동,금정구 서3동 MOS 127,20230127
5G,부산,행정동,금정구 선두구동 MOS 126,20230126
5G,부산,행정동,금성동 KT ,20230323
5G,부산,행정동,광안1동 ,20230508
5G,부산,행정동,광안1동 NEW ,20230606
5G,부산,행정동,광안2동3월 ,20230328
5G,부산,행정동,광안2동 NEW ,20230606
5G,부산,행정동,광안리해수욕장 ,20230612
5G,부산,행정동,구서2동 ,20230209
5G,부산,행정동,구서2동 230213,20230209
5G,부산,행정동,남천1동3월 ,20230424
5G,부산,행정동,남구 감만1동 MOS 309,20230309
5G,부산,행정동,남구 대연1동 MOS 313,20230313
5G,부산,행정동,남구 대연3동 MOS 510,20230510
5G,부산,행정동,남구 대연3동 MOS NEW,20230613
5G,부산,행정동,남구 대연4동 MOS 313,20230313
5G,부산,행정동,남구 대연5동 MOS 314,20230314
5G,부산,행정동,남구 대연6동 MOS 314,20230314
5G,부산,행정동,남구 문현1동 MOS 519,20230519
5G,부산,행정동,남구 문현1동 MOS 629,20230629
5G,부산,행정동,남구 문현1동 MOS NEW,20230613
5G,부산,행정동,남구 문현2동 MOS 310,20230310
5G,부산,행정동,남구 문현3동 MOS 310,20230310
5G,부산,행정동,남구 문현4동 MOS 310,20230310
5G,부산,행정동,남구 용호1동 MOS 519,20230519
5G,부산,행정동,남구 용호1동 MOS 629,20230629
5G,부산,행정동,남구 용호1동 MOS NEW,20230613
5G,부산,행정동,남구 용호2동 MOS 316,20230316
5G,부산,행정동,남구 용호3동 MOS 316,20230316
5G,부산,행정동,남구 용당동 MOS 309,20230309
5G,부산,행정동,남구 용당동 MOS NEW,20230622
5G,부산,행정동,남구 우암동 MOS 313,20230313
5G,부산,행정동,동구 좌천동 MOS 222,20230222
5G,부산,행정동,동구 좌천동 MOS 331,20230331
5G,부산,행정동,동구 좌천동 MOS 424,20230424
5G,부산,행정동,동구 좌천동 MOS 522,20230522
5G,부산,행정동,동구 좌천동 MOS NEW,20230608
5G,부산,행정동,동구 초량3동 MOS 522,20230522
5G,부산,행정동,동구 초량3동 MOS NEW,20230609
5G,부산,행정동,동구 초량6동 MOS 116,20230116
5G,부산,행정동,동구 범일1동 MOS 222,20230222
5G,부산,행정동,동구 범일1동 MOS 324,20230324
5G,부산,행정동,동구 범일1동 MOS 424,20230424
5G,부산,행정동,동구 범일1동 MOS 522,20230522
5G,부산,행정동,동구 범일1동 MOS NEW,20230623
5G,부산,행정동,동구 범일2동 MOS 222,20230222
5G,부산,행정동,동구 범일2동 MOS 324,20230324
5G,부산,행정동,동구 범일2동 MOS 424,20230424
5G,부산,행정동,동구 범일2동 MOS 522,20230522
5G,부산,행정동,동구 범일2동 MOS NEW,20230609
5G,부산,행정동,동구 수정1동 MOS 118,20230118
5G,부산,행정동,동구 수정2동 MOS 117,20230117
5G,부산,행정동,동구 수정4동 MOS 117,20230117
5G,부산,행정동,동구 수정5동 MOS 117,20230117
5G,부산,행정동,동래구 명장2동 MOS 405,20230405
5G,부산,행정동,동래구 명륜동 MOS 508,20230508
5G,부산,행정동,동래구 명륜동 MOS 706,20230706
5G,부산,행정동,동래구 명륜동 NEW 230607,20230606
5G,부산,행정동,동래구 복산동 MOS 405,20230405
5G,부산,행정동,동래구 사직1동 MOS 404,20230404
5G,부산,행정동,동래구 사직3동 MOS 404,20230404
5G,부산,행정동,동래구 수민동 MOS 508,20230508
5G,부산,행정동,동래구 수민동 MOS 707,20230707
5G,부산,행정동,동래구 수민동 NEW 230608,20230608
5G,부산,행정동,동래구 안락1동 MOS 405,20230405
5G,부산,행정동,동래구 안락2동 MOS 509,20230509
5G,부산,행정동,동래구 안락2동 MOS 706,20230706
5G,부산,행정동,동래구 온천1동 MOS 509,20230509
5G,부산,행정동,동래구 온천1동 MOS 707,20230707
5G,부산,행정동,동래구 온천1동 NEW 230607,20230606
5G,부산,행정동,동래구 온천2동 230424,20230424
5G,부산,행정동,동래구 온천2동 MOS 517,20230517
5G,부산,행정동,동래구 온천2동 MOS 707,20230707
5G,부산,행정동,동래구 온천2동 NEW 230607,20230606
5G,부산,행정동,동래구 온천3동 230424,20230424
5G,부산,행정동,동래구 온천3동 MOS 517,20230517
5G,부산,행정동,동래구 온천3동 MOS 706,20230706
