1,35.0993,129.02986,241,-64.48
2,35.09931,129.02978,241,-65.56
3,35.09931,129.02969,241,-63.03
4,35.09931,129.02961,241,-64.14
5,35.09932,129.02952,241,-64.64
6,35.09932,129.02944,241,-66.32
7,35.09931,129.02937,241,-66.61
8,35.09931,129.02926,241,-70.21
9,35.09931,129.02919,241,-66.22
10,35.09932,129.02911,241,-74.85
11,35.09933,129.02903,241,-70.95
12,35.09934,129.02899,294,-71.51
13,35.09934,129.02893,294,-72.79
14,35.09936,129.02886,294,-73.96
15,35.09936,129.02879,294,-74.49
16,35.09936,129.0287,294,-73.32
17,35.09937,129.02861,294,-75.76
18,35.09937,129.02851,294,-78.91
19,35.09937,129.02844,402,-81.07
20,35.09938,129.02833,294,-79.76
21,35.09939,129.02824,402,-86
22,35.0994,129.02816,402,-85.4
23,35.09943,129.02821,109,-75.33
24,35.09942,129.02804,109,-63.96
25,35.09944,129.02796,109,-54.63
26,35.09945,129.02792,109,-51.18
27,35.09944,129.02789,109,-60.77
28,35.09944,129.02787,109,-57.47
29,35.09944,129.02787,109,-57.96
30,35.09944,129.02787,109,-58.57
31,35.09944,129.02787,109,-55.17
32,35.09943,129.02787,109,-59.73
33,35.09943,129.02786,109,-67.42
34,35.09941,129.02783,109,-70.62
35,35.09938,129.0278,109,-68.22
36,35.09934,129.0278,109,-71.94
37,35.09925,129.02781,402,-60.91
38,35.09918,129.02781,402,-68.04
39,35.09911,129.02781,402,-70.19
40,35.09904,129.02783,402,-66.19
41,35.09897,129.02783,402,-69.08
42,35.09891,129.02783,402,-67.61
43,35.09887,129.02783,402,-69.2
44,35.09884,129.02784,402,-73.98
45,35.09955,129.03128,558,-74.22
46,35.09955,129.03128,558,-71.69
47,35.09951,129.03128,558,-75.2
48,35.09947,129.03129,558,-76.87
49,35.09942,129.03129,558,-77.01
50,35.09938,129.03128,558,-80.54
51,35.09934,129.03128,558,-81.78
52,35.0993,129.03126,241,-75.49
53,35.09928,129.03123,241,-76.3
